PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7452967, -117.1808698, 41, 334, 'Images/RouteBus_41_330_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:13:14 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7454137, -117.1810257, 41, 276, 'Images/RouteBus_41_280_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:14:50 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7453987, -117.1810138, 41, 276, 'Images/RouteBus_41_280_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:14:52 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7453715, -117.1811457, 41, 224, 'Images/RouteBus_41_220_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:15:24 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7453715, -117.1811457, 41, 224, 'Images/RouteBus_41_220_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:15:24 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7453715, -117.1811457, 41, 224, 'Images/RouteBus_41_220_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:15:24 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7449167, -117.1805527, 41, 140, 'Images/RouteBus_41_140_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:15:48 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7449167, -117.1805527, 41, 140, 'Images/RouteBus_41_140_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:15:48 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7405917, -117.1785237, 41, 146, 'Images/RouteBus_41_150_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:17:44 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7405917, -117.1785237, 41, 146, 'Images/RouteBus_41_150_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:17:44 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7405917, -117.1785237, 41, 146, 'Images/RouteBus_41_150_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:17:44 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7405917, -117.1785237, 41, 146, 'Images/RouteBus_41_150_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:17:44 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('304', 46.7388465, -117.1783578, 41, 184, 'Images/RouteBus_41_180_3300FF.png', 'SAT North', 26, '<span class=mdGrey>SAT North Outbound<br /></span>11:18:13 AM')]);
